""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"19"	"Amyotrophic lateral sclerosis (ALS)"	49	5.0328	0.27697	0.89278	-4.2166	0.77186	1	21.663	0.038107	0.069979	31	16.374	0.16395	0.33117	18	14.254	0.091391	0.1943
"20"	"Antigen processing and presentation"	43	4.5852	0.27473	0.89278	-4.5829	0.81374	1	12.393	0.82567	0.90316	25	11.029	0.59814	0.77102	18	6.1572	0.94727	0.97626
"21"	"Apelin signaling pathway"	131	10.357	0.049756	0.27411	-9.1841	0.96679	1	36.479	0.00075902	0.0032392	78	29.996	0.0014862	0.0087171	53	20.961	0.14173	0.25733
"22"	"Apoptosis"	129	0.97669	0.81218	1	0.71487	0.32705	0.66064	29.293	0.18208	0.25902	67	20.631	0.34844	0.55276	62	20.807	0.34855	0.48223
"23"	"Arachidonic acid metabolism"	48	10.37	0.017357	0.13148	-7.6303	0.9445	1	26.911	0.00017473	0.0010381	31	23.336	0.00065192	0.0048609	16	16.182	0.0085546	0.046287
"24"	"Arginine and proline metabolism"	46	4.5181	0.29177	0.90209	-1.3667	0.56232	0.90865	23.365	0.0067348	0.017592	24	18.726	0.006043	0.025083	22	14.227	0.18549	0.30882
"25"	"Arginine biosynthesis"	19	-8.3331	0.99673	1	8.3331	0.024159	0.1031	12.214	0.24149	0.31539	6	3.4172	0.78268	0.91963	13	12.445	0.10597	0.21568
"26"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	72	13.452	0.004312	0.042146	-9.7568	0.97301	1	30.397	0.00043297	0.002116	48	26.063	0.000999	0.0065804	24	15.791	0.10805	0.21568
"27"	"Ascorbate and aldarate metabolism"	14	0.47208	0.59409	1	-0.47075	0.50458	0.84938	7.2933	0.67454	0.75699	5	7.0585	0.29157	0.48317	9	3.8353	0.91339	0.94902
"28"	"Asthma"	15	11.59	0.0029743	0.036048	-10.888	0.99173	1	12.986	0.10576	0.16777	13	12.604	0.096127	0.22405	2	3.4289	0.52552	0.65384
"29"	"Autoimmune thyroid disease"	26	7.9201	0.066412	0.33538	-7.6864	0.93727	1	6.8826	0.94886	0.98632	23	6.5066	0.95197	0.99703	3	2.2458	0.78754	0.85836
"30"	"Autophagy"	122	-17.792	1	1	23.055	2.1919e-08	8.302e-07	31.384	0.025577	0.051323	40	11.234	0.89676	0.99703	82	30.435	0.00201	0.017912
"31"	"Axon guidance"	178	13.996	0.011043	0.090434	-10.361	0.97537	1	49.985	5.7854e-10	4.1559e-08	103	41.603	4.6513e-09	2.8187e-07	75	28.251	0.0076578	0.042368
"32"	"B cell receptor signaling pathway"	69	3.7048	0.4424	1	-3.6583	0.73131	1	24.009	0.057506	0.099568	39	18.065	0.14046	0.29816	30	15.814	0.22615	0.34961
"33"	"Bacterial invasion of epithelial cells"	65	-7.4375	0.99678	1	11.064	0.0034427	0.026079	21.521	0.19854	0.27596	22	12.737	0.29747	0.48722	43	17.349	0.37247	0.50609
"34"	"Basal cell carcinoma"	62	10.708	0.022328	0.15034	-5.3592	0.84153	1	33.279	3.292e-07	6.6499e-06	38	27.325	1.0036e-05	0.00019005	24	19.106	0.0072916	0.041884
"35"	"Basal transcription factors"	42	-6.581	0.9914	1	10.613	0.004722	0.030442	10.957	0.91544	0.96985	14	4.3328	0.93508	0.99703	28	10.355	0.86943	0.92434
"36"	"Base excision repair"	33	1.9948	0.48826	1	-1.9948	0.64875	0.96626	6.1128	0.99382	1	19	4.665	0.96985	1	14	3.9504	0.97606	0.99244
"37"	"Bile secretion"	63	6.5949	0.17717	0.66275	-2.6026	0.63669	0.95979	23.567	0.048614	0.08614	38	18.968	0.069525	0.17918	25	14.027	0.31633	0.4417
"38"	"Biosynthesis of unsaturated fatty acids"	24	-8.963	0.99865	1	14.476	0.00019082	0.0023127	20.427	0.0014355	0.0048327	6	11.693	0.024708	0.079642	18	16.836	0.011499	0.052791
"39"	"Bladder cancer"	38	-3.9426	0.95727	1	8.2317	0.015946	0.075492	18.238	0.10287	0.16405	17	10.537	0.43106	0.63825	21	15.053	0.082888	0.18332
"40"	"Breast cancer"	144	3.8548	0.57094	1	-0.20214	0.39555	0.76294	37.675	0.0010629	0.004009	78	27.633	0.014556	0.053138	66	25.61	0.021936	0.085212
"41"	"Butanoate metabolism"	24	-11.019	0.99982	1	19.019	1.8893e-06	4.089e-05	16.985	0.033797	0.064405	8	2.9846	0.90409	0.99703	16	18.692	0.00042298	0.006103
"42"	"C-type lectin receptor signaling pathway"	99	6.9933	0.19186	0.70042	-6.3101	0.88323	1	33.843	0.00025234	0.0013901	61	25.263	0.011231	0.041649	38	22.618	0.0041491	0.029933
"43"	"Caffeine metabolism"	4	3.8115	0.20466	0.72109	-3.8115	0.7923	1	7.9436	0.14541	0.21811	3	6.6721	0.19758	0.38035	1	4.3307	0.26218	0.38395
"44"	"Calcium signaling pathway"	182	20.965	9.7443e-06	0.00036907	-13.202	0.99608	1	50.398	2.9024e-10	4.1559e-08	122	42.315	4.0596e-08	1.9289e-06	60	27.438	0.0014814	0.014963
"45"	"Carbohydrate digestion and absorption"	36	-0.62574	0.77381	1	2.8031	0.23016	0.52076	17.644	0.10185	0.16405	20	10.67	0.5042	0.70401	16	14.536	0.039231	0.11639
"46"	"Cardiac muscle contraction"	73	3.9447	0.4025	1	-2.4118	0.65207	0.96626	21.334	0.3308	0.41198	40	16.674	0.27846	0.46873	33	13.373	0.64061	0.75528
"47"	"Cell adhesion molecules (CAMs)"	118	22.72	4.301e-07	2.3822e-05	-17.071	0.9998	1	42.576	4.4207e-09	1.6743e-07	79	39.356	2.4611e-10	3.6915e-08	39	18.044	0.18435	0.30861
"48"	"Cell cycle"	121	-0.93461	0.90819	1	4.9652	0.086397	0.27172	23.098	0.80184	0.88671	58	16.094	0.76119	0.90447	63	16.568	0.88247	0.93421
"49"	"Cellular senescence"	143	-5.2334	0.99587	1	10.163	0.003911	0.027628	34.464	0.016687	0.03586	68	20.691	0.36529	0.56851	75	27.887	0.011036	0.052246
"50"	"Central carbon metabolism in cancer"	61	-0.3879	0.81297	1	1.0837	0.32278	0.6564	21.566	0.14197	0.21402	33	14.086	0.42503	0.63441	28	16.539	0.10679	0.21568
"51"	"Chagas disease (American trypanosomiasis)"	99	5.5855	0.30701	0.93023	-0.80631	0.4862	0.84182	34.648	9.0554e-05	0.00066922	54	26.382	0.001496	0.0087171	45	22.492	0.018467	0.075615
"52"	"Chemical carcinogenesis"	47	6.0181	0.19181	0.70042	0.31509	0.40035	0.76294	26.109	0.00044269	0.0021291	26	21.216	0.0012938	0.0078401	21	15.453	0.06219	0.15075
"53"	"Chemokine signaling pathway"	172	10.346	0.074347	0.35757	-6.6025	0.87962	1	46.383	6.8178e-08	1.5891e-06	93	38.562	4.4563e-08	1.9289e-06	79	26.6	0.054851	0.14452
"54"	"Cholesterol metabolism"	48	-7.9694	0.99788	1	9.874	0.0063686	0.037837	18.496	0.21045	0.28854	21	7.481	0.87539	0.99703	27	18.063	0.030989	0.1044
"55"	"Choline metabolism in cancer"	98	-6.1947	0.99519	1	10.538	0.0049364	0.031161	32.82	0.00091421	0.0035975	43	19.403	0.095595	0.22405	55	26.653	0.0014436	0.014963
"56"	"Cholinergic synapse"	111	9.0609	0.085902	0.40095	-6.805	0.90166	1	34.207	0.00080022	0.0033676	66	27.45	0.003516	0.016141	45	20.481	0.091281	0.1943
"57"	"Chronic myeloid leukemia"	75	-5.151	0.98846	1	8.7216	0.012833	0.067041	27.404	0.0084067	0.020709	31	17.394	0.095793	0.22405	44	21.179	0.044038	0.12471
"58"	"Circadian entrainment"	94	21.272	1.7064e-06	7.3864e-05	-18.425	0.99995	1	36.176	8.1387e-06	9.1334e-05	68	33.204	3.7857e-06	8.1933e-05	26	15.088	0.18068	0.30415
"59"	"Circadian rhythm"	29	-3.6317	0.92565	1	3.6317	0.19089	0.48064	12.865	0.45272	0.53986	11	7.401	0.56898	0.76283	18	10.543	0.50805	0.63611
"60"	"Citrate cycle (TCA cycle)"	28	-14.554	1	1	17.023	2.6044e-05	0.00039457	18.619	0.020416	0.04237	5	5.0145	0.54769	0.74417	23	18.206	0.0073263	0.041884
"61"	"Cocaine addiction"	48	15.061	0.0003581	0.0077503	-12.338	0.99645	1	21.932	0.026419	0.052665	37	20.068	0.039846	0.11837	11	9.01	0.39535	0.52772
"62"	"Collecting duct acid secretion"	25	-3.192	0.90513	1	5.8048	0.088781	0.27172	12.351	0.41729	0.50576	11	7.204	0.5941	0.77102	14	10.119	0.39098	0.52419
"63"	"Colorectal cancer"	85	-1.0029	0.87374	1	2.9799	0.19355	0.4807	24.938	0.12931	0.1999	42	16.732	0.32599	0.52263	43	18.526	0.22432	0.34856
"64"	"Complement and coagulation cascades"	70	13.494	0.0029396	0.036048	-8.3002	0.95472	1	31.997	2.0802e-05	0.000191	47	26.578	0.00028008	0.0025717	23	17.827	0.010891	0.052246
"65"	"Cortisol synthesis and secretion"	62	7.2214	0.133	0.56761	-5.9972	0.87289	1	24.799	0.016425	0.035548	32	22.614	0.0012786	0.0078401	30	12.295	0.70533	0.80344
"66"	"Cushing syndrome"	151	4.1408	0.55768	1	-0.92223	0.45957	0.81912	39.271	0.00020824	0.0011905	72	31.597	0.00010255	0.0011509	79	24.129	0.24286	0.36793
"67"	"Cysteine and methionine metabolism"	45	-8.1802	0.99749	1	10.127	0.0073006	0.041737	21.069	0.039165	0.071268	15	11.522	0.20994	0.38823	30	17.656	0.076741	0.17224
"68"	"Cytokine-cytokine receptor interaction"	252	31.567	5.1328e-12	1.5552e-09	-25.454	1	1	54.959	5.935e-10	4.1559e-08	175	50.494	3.655e-10	3.6915e-08	77	23.302	0.28748	0.41283
"69"	"Cytosolic DNA-sensing pathway"	54	1.8588	0.59692	1	-1.8588	0.59522	0.93351	12.686	0.92726	0.97895	33	8.406	0.95799	0.9975	21	9.8054	0.72366	0.80988
"70"	"DNA replication"	35	-2.1071	0.87525	1	2.1071	0.25988	0.56246	8.9302	0.94088	0.98632	17	4.9648	0.95049	0.99703	18	7.6277	0.86057	0.91815
"71"	"Dilated cardiomyopathy (DCM)"	89	14.647	0.0019198	0.029085	-9.5092	0.96691	1	35.669	2.7763e-06	3.8238e-05	58	30.455	1.7696e-05	0.0002822	31	18.78	0.039045	0.11639
"72"	"Dopaminergic synapse"	126	14.93	0.001909	0.029085	-10.351	0.9816	1	40.329	2.1082e-06	3.362e-05	79	34.196	4.0743e-06	8.2302e-05	47	21.698	0.047321	0.13173
"73"	"Drug metabolism"	75	7.1159	0.15667	0.62462	1.0296	0.32212	0.6564	31.034	0.00016676	0.0010106	42	24.362	0.0016036	0.0091678	33	19.301	0.036301	0.11244
"74"	"ECM-receptor interaction"	82	18.177	2.7641e-05	0.00083752	-12.054	0.99516	1	39.546	1.4325e-09	7.2339e-08	52	35.807	6.3462e-10	4.8072e-08	30	18.237	0.050441	0.13646
"75"	"Endocrine and other factor-regulated calcium reabsorption"	45	8.8341	0.057215	0.2989	-3.39	0.70717	1	24.392	0.0023149	0.0070849	29	19.932	0.0094929	0.03641	16	14.071	0.056682	0.14555
"76"	"Endocytosis"	228	-11.283	1	1	16.405	2.2733e-05	0.00036254	40.414	0.037971	0.069979	94	22.593	0.54717	0.74417	134	33.794	0.032933	0.10783
"77"	"Endometrial cancer"	57	-4.3422	0.9703	1	6.2506	0.058628	0.20565	23.478	0.024299	0.049747	26	14.064	0.26324	0.45062	31	18.956	0.033807	0.10783
"78"	"Epstein-Barr virus infection"	171	5.8521	0.41815	1	-4.3006	0.73308	1	32.884	0.20374	0.28189	97	24.97	0.29341	0.48317	74	21.399	0.49792	0.62601
"79"	"ErbB signaling pathway"	83	-6.7333	0.99633	1	8.3979	0.01511	0.073844	26.662	0.042017	0.075333	34	15.731	0.28086	0.47017	49	21.596	0.056398	0.14555
"80"	"Estrogen signaling pathway"	131	11.789	0.020912	0.14736	-10.78	0.98618	1	30.703	0.096347	0.15866	83	26.318	0.062858	0.16707	47	17.482	0.45977	0.58534
"81"	"Ether lipid metabolism"	44	4.8756	0.26227	0.88298	-2.49	0.66126	0.96626	23.829	0.0022118	0.0068386	27	18.139	0.021014	0.069969	16	18.005	0.001047	0.011841
"82"	"Fanconi anemia pathway"	51	-1.93	0.90125	1	5.5886	0.067812	0.22779	11.626	0.95051	0.98632	25	6.7353	0.95067	0.99703	26	9.6788	0.85551	0.91597
"83"	"Fat digestion and absorption"	39	3.0337	0.44662	1	-0.15628	0.43376	0.79654	17.606	0.15325	0.22762	22	13.741	0.19137	0.37409	16	13.427	0.090347	0.1943
"84"	"Fatty acid biosynthesis"	13	-8.4038	0.99469	1	19.274	4.8809e-06	9.2431e-05	16.345	0.0055995	0.015015	5	5.1971	0.52395	0.72492	8	16.727	0.00028375	0.0046523
"85"	"Fatty acid degradation"	37	-10.515	0.99957	1	19.106	4.0503e-06	8.1815e-05	25.348	0.000131	0.00082695	12	11.925	0.10215	0.23448	25	22.575	0.00014898	0.0037617
"86"	"Fatty acid elongation"	27	-8.5602	0.99686	1	8.7297	0.016731	0.076811	18.221	0.031071	0.06035	8	9.3854	0.19548	0.37968	19	15.631	0.043739	0.12471
"87"	"Fc epsilon RI signaling pathway"	66	-4.3563	0.97485	1	5.9643	0.059048	0.20565	24.13	0.043731	0.077945	30	14.739	0.27772	0.46873	36	19.217	0.058248	0.14708
"88"	"Fc gamma R-mediated phagocytosis"	84	-3.5573	0.96471	1	7.998	0.023167	0.10028	28.792	0.0077056	0.01962	41	17.443	0.24051	0.42618	43	23.21	0.00661	0.040057
"89"	"Ferroptosis"	36	-7.6664	0.996	1	16.499	7.9746e-05	0.0010983	15.93	0.23998	0.31478	15	6.8392	0.78467	0.91963	20	17.286	0.014355	0.063037
"90"	"Fluid shear stress and atherosclerosis"	130	1.139	0.80418	1	3.7504	0.12437	0.34891	36.041	0.0011022	0.0040727	71	24.239	0.093343	0.22405	59	26.908	0.0016711	0.015344
"91"	"Focal adhesion"	195	7.5435	0.28983	0.90209	-0.5279	0.39977	0.76294	49.547	1.6759e-08	4.6163e-07	106	38.054	2.2583e-06	6.2205e-05	89	31.81	0.0010551	0.011841
"92"	"Folate biosynthesis"	21	-8.9682	0.99807	1	11.819	0.0024431	0.020563	10.854	0.48232	0.56208	7	1.3969	0.94005	0.99703	14	12.306	0.14093	0.25733
"93"	"FoxO signaling pathway"	127	-12.687	1	1	17.702	1.9393e-05	0.00032737	35.917	0.00053853	0.0024429	49	18.142	0.31247	0.50361	78	31.451	0.00022283	0.0042199
"94"	"Fructose and mannose metabolism"	29	-0.5859	0.73907	1	3.0118	0.2303	0.52076	11.437	0.63171	0.71156	14	7.6303	0.65801	0.81001	15	8.5308	0.66873	0.7717
"95"	"GABAergic synapse"	88	15.328	0.0010034	0.018728	-14.455	0.99893	1	29.43	0.0072055	0.018502	63	25.562	0.011271	0.041649	25	14.638	0.24118	0.36793
"96"	"Galactose metabolism"	27	-3.6514	0.92871	1	3.6514	0.16284	0.42536	13.664	0.33895	0.41749	13	7.0695	0.69666	0.84436	14	12.164	0.15288	0.26997
"97"	"Gap junction"	82	5.0726	0.32506	0.9466	-2.9563	0.67431	0.96626	30.881	0.0008938	0.0035975	45	24.138	0.0025149	0.012916	37	19.352	0.059535	0.149
"98"	"Gastric acid secretion"	71	12.994	0.0051848	0.043639	-9.1585	0.96803	1	27.082	0.007197	0.018502	47	23.95	0.0049993	0.021039	24	13.064	0.40314	0.53341
"99"	"Gastric cancer"	144	0.52446	0.85828	1	2.3195	0.20014	0.48481	37.825	0.00090342	0.0035975	74	25.911	0.034957	0.10699	70	27.61	0.0067792	0.040276
"100"	"Glioma"	72	1.9084	0.64402	1	-0.14375	0.41863	0.77819	26.442	0.019488	0.041006	36	20.101	0.023009	0.074965	36	17.294	0.19449	0.31683
"101"	"Glucagon signaling pathway"	96	4.796	0.36678	1	-4.2269	0.77584	1	25.711	0.16255	0.23793	53	20.375	0.1618	0.33117	43	15.797	0.59664	0.71455
"102"	"Glutamatergic synapse"	112	18.567	5.2407e-05	0.0014436	-15.285	0.99937	1	38.443	4.8935e-06	5.9309e-05	75	34.244	1.3664e-06	4.1401e-05	37	18.129	0.13608	0.25296
"103"	"Glutathione metabolism"	51	-1.0138	0.85071	1	6.5396	0.043455	0.16667	20.589	0.098355	0.16022	27	12.608	0.44054	0.64175	24	16.64	0.061066	0.15043
"104"	"Glycerolipid metabolism"	57	0.51627	0.72554	1	-0.075112	0.44002	0.79837	23.044	0.033752	0.064405	29	16.312	0.12506	0.2766	28	16.279	0.12629	0.24191
"105"	"Glycerophospholipid metabolism"	94	-2.4441	0.94566	1	8.462	0.017573	0.079471	31.149	0.0034394	0.0099251	46	20.35	0.073608	0.18586	47	25.117	0.0016158	0.0153
"106"	"Glycine, serine and threonine metabolism"	38	-2.0901	0.88819	1	6.4866	0.041613	0.16165	22.59	0.0040795	0.011445	18	14.26	0.084724	0.20703	20	17.609	0.010594	0.052246
"107"	"Glycolysis / Gluconeogenesis"	60	-0.78237	0.8459	1	2.9781	0.19194	0.48064	22.647	0.059864	0.10306	31	14.418	0.36317	0.56851	29	17.668	0.06355	0.15162
"108"	"Glycosaminoglycan biosynthesis"	53	14.129	0.0011126	0.018728	-14.127	0.99895	1	19.435	0.21156	0.28875	41	18.487	0.14718	0.3097	12	6.6727	0.77537	0.85122
"109"	"Glycosaminoglycan degradation"	19	-0.88512	0.75148	1	2.6456	0.2479	0.5443	11.944	0.27116	0.34522	7	9.6928	0.12981	0.28502	12	7.6262	0.65933	0.77134
"110"	"Glycosphingolipid biosynthesis"	43	2.031	0.53142	1	1.9561	0.28181	0.58888	20.884	0.027275	0.054015	22	15.951	0.052191	0.14779	21	13.558	0.20557	0.32957
"111"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	24	-7.9076	0.99663	1	10.574	0.0042327	0.0285	13.54	0.25045	0.3243	7	5.5314	0.58641	0.76949	17	12.538	0.191	0.31453
"112"	"Glyoxylate and dicarboxylate metabolism"	29	-17.025	1	1	29.155	3.8659e-11	2.3427e-09	22.444	0.00075415	0.0032392	6	4.0281	0.71857	0.86058	23	23.144	6.6715e-06	0.00030236
"113"	"GnRH signaling pathway"	88	3.099	0.52291	1	-2.6339	0.65916	0.96626	27.585	0.032281	0.0623	46	21.252	0.03961	0.11837	42	17.688	0.29901	0.42536
"114"	"Graft-versus-host disease"	14	5.9389	0.11714	0.52977	-5.6204	0.87961	1	11.107	0.22182	0.30006	10	9.7021	0.25745	0.44576	4	5.4383	0.43212	0.56436
"115"	"HIF-1 signaling pathway"	97	-9.8552	0.99984	1	12.553	0.0012796	0.011404	24.672	0.28433	0.35896	39	11.111	0.89791	0.99703	58	22.796	0.076399	0.17224
"116"	"Hedgehog signaling pathway"	44	11.943	0.0051393	0.043639	-5.2826	0.85479	1	29.024	1.9656e-06	3.3088e-05	28	25.158	1.4973e-05	0.00025205	16	14.85	0.030137	0.1044
"117"	"Hematopoietic cell lineage"	66	9.021	0.056966	0.2989	-4.1949	0.77618	1	29.914	0.00016672	0.0010106	46	22.371	0.016418	0.057254	20	20.414	0.00044944	0.0061901
"118"	"Hepatitis B"	153	-0.52781	0.92329	1	2.0264	0.22145	0.51004	31.084	0.23096	0.30834	80	20.38	0.60562	0.77102	73	23.666	0.20323	0.32754
"119"	"Hepatitis C"	145	-3.1903	0.98129	1	7.0219	0.028522	0.11523	31.436	0.14009	0.2133	72	19.362	0.60871	0.77171	73	25.077	0.089382	0.1943
"120"	"Hepatocellular carcinoma"	162	-2.3565	0.97355	1	8.0777	0.015775	0.075492	39.534	0.00047008	0.0022255	81	25.311	0.094262	0.22405	81	30.598	0.0014664	0.014963
"121"	"Herpes simplex virus 1 infection"	157	4.1732	0.55986	1	-2.666	0.61554	0.93747	28.934	0.53781	0.61493	90	20.819	0.70621	0.84914	67	20.163	0.52869	0.65384
"122"	"Hippo signaling pathway"	154	6.1533	0.34943	0.98035	-2.4568	0.60016	0.93351	43.15	1.1965e-06	2.1325e-05	82	33.367	3.3298e-05	0.00048044	72	27.498	0.0087934	0.046744
"123"	"Histidine metabolism"	23	9.3515	0.021817	0.15024	-5.064	0.84468	1	25.245	2.6355e-06	3.8027e-05	14	21.417	1.1997e-05	0.00021383	9	13.645	0.010232	0.052246
"124"	"Homologous recombination"	39	-2.1844	0.89628	1	2.1844	0.23771	0.53354	8.0772	0.98776	1	17	4.8488	0.95426	0.99703	22	6.492	0.96831	0.99121
"125"	"Human T-cell leukemia virus 1 infection"	195	6.037	0.43377	1	-1.5182	0.48588	0.84182	39.434	0.013298	0.030296	108	30.053	0.0339	0.10481	87	25.554	0.19246	0.31521
"126"	"Human cytomegalovirus infection"	202	9.0198	0.15591	0.62462	-7.7228	0.92367	1	43.074	0.00083742	0.0034759	117	33.506	0.0042893	0.018835	85	27.091	0.064964	0.15378
"127"	"Human immunodeficiency virus 1 infection"	185	2.7884	0.73933	1	-0.82206	0.43956	0.79837	37.165	0.029164	0.057011	101	26.308	0.20403	0.38398	84	26.306	0.12463	0.24053
"128"	"Human papillomavirus infection"	309	5.8414	0.58912	1	1.3993	0.2222	0.51004	54.376	2.5806e-06	3.8027e-05	161	41.024	0.00012045	0.0012585	148	35.782	0.023987	0.09085
"129"	"Huntington disease"	163	-4.8808	0.99393	1	8.1297	0.019733	0.087929	25.825	0.91437	0.96985	77	14.694	0.98355	1	86	21.65	0.72009	0.80988
"130"	"Hypertrophic cardiomyopathy (HCM)"	85	11.471	0.018933	0.13992	-6.337	0.87849	1	32.425	0.0001287	0.00082695	52	27.443	0.00044077	0.0036095	33	17.591	0.12029	0.23515
"131"	"IL-17 signaling pathway"	87	8.8663	0.086011	0.40095	-7.9188	0.93418	1	32.298	0.0003911	0.0019751	54	25.681	0.0031392	0.014774	33	19.591	0.028669	0.1022
"132"	"Inflammatory bowel disease (IBD)"	49	7.6222	0.10154	0.46616	-1.121	0.51909	0.8642	22.835	0.015436	0.033892	32	17.596	0.08816	0.2137	17	14.626	0.048252	0.13173
"133"	"Inflammatory mediator regulation of TRP channels"	93	14.192	0.0029212	0.036048	-12.376	0.99423	1	34.619	1.9296e-05	0.00018271	60	29.927	5.1655e-05	0.0006805	33	17.763	0.1082	0.21568
"134"	"Influenza A"	141	-0.71922	0.9159	1	3.0732	0.15818	0.41934	28.723	0.35495	0.43262	75	18.229	0.7983	0.92811	66	22.55	0.19632	0.3181
"135"	"Inositol phosphate metabolism"	72	-5.6583	0.99017	1	11.419	0.0028012	0.022336	28.558	0.0030547	0.0089861	29	17.72	0.053154	0.14913	43	22.402	0.014586	0.063139
"136"	"Insulin resistance"	105	-11.398	0.99997	1	16.678	3.4491e-05	0.00049765	31.668	0.0046187	0.012608	43	14.753	0.61381	0.77462	62	28.925	0.00030708	0.0046523
"137"	"Insulin secretion"	84	12.953	0.0050502	0.043639	-6.2001	0.89455	1	35.181	3.2698e-06	4.3076e-05	55	29.025	8.793e-05	0.0010657	29	19.904	0.00951	0.049682
"138"	"Insulin signaling pathway"	132	-9.7167	0.9999	1	14.534	0.00021292	0.0024813	32.376	0.028435	0.055946	54	17.443	0.51453	0.71515	78	27.605	0.019068	0.077033
"139"	"Intestinal immune network for IgA production"	32	14.143	0.0010721	0.018728	-13.608	0.99759	1	20.1	0.011543	0.026904	26	18.468	0.017923	0.061712	6	7.973	0.22308	0.34856
